run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
165,7,4,0.2251877019485543,2798.953558031398,3199.3166799857527,400.3631219543545,12.95,52.27,1.05
166,8,6,0.08273735673954558,2754.868888022314,3159.149720448952,404.28083242663797,69.5,69.51,1.39
167,8,6,0.2862484143253693,2758.0376161964386,3125.2109476891837,367.1733314927451,5.15,24.38,0.49
168,8,4,0.33901576981226583,2776.4798684190314,3131.4740749639013,354.99420654486994,0,58.51,1.17
169,6,4,0.20367471926150815,2686.7987194685593,3110.6391453951865,423.8404259266272,51.75,50.12,1
170,6,3,0.42106964145899495,2824.1147327887884,3268.488965831477,444.3742330426885,10.45,44.74,0.89
171,9,5,0.07329638922685316,2810.6873690366638,3171.9090732381765,361.2217042015127,28.7,55.97,1.12
172,6,5,0.11566585819676414,2874.1546811704857,3197.5126572003774,323.3579760298917,23.85,44.65,0.89
173,6,5,0.26411440780860795,2794.176424444986,3163.685463310441,369.50903886545484,36,53.57,1.07
174,7,4,0.07144919438089287,2665.626334101503,3163.9883054172137,498.3619713157109,96.15,157.75,3.15
175,5,4,0.866034795574093,2781.9468684885273,3189.622748601467,407.67588011293947,0,0,0
176,6,4,0.19502357640644916,2657.542617014936,2999.4061076797952,341.86349066485946,0,0,0
177,9,7,0.03518931373432117,2641.5702536835215,3272.5567126372916,630.9864589537701,30.6,139.97,2.8
178,7,4,0.08546020652693352,2725.425706338732,3117.712533165694,392.2868268269617,11.2,37.7,0.75
179,7,6,0.6594689117732675,2798.2284997351658,3192.7368011418775,394.5083014067118,1.7,30.37,0.61
180,7,5,0.9314565774369393,2756.2691813877886,3257.498676838641,501.2294954508525,38.85,109.83,2.2
181,8,5,0.14301405723755145,2740.9477498962106,3305.212728439664,564.2649785434533,2,49.11,0.98
182,7,5,0.6242234462196774,2834.3152826439846,3122.4517287984063,288.1364461544217,0,0,0
183,7,5,0.2827776266438003,2679.500482049383,3177.934126567416,498.4336445180329,42,87.68,1.75
184,7,4,0.09102297605344098,2764.64584799135,3264.328400052554,499.6825520612042,2.55,20.69,0.41
185,5,3,0.18846938896877022,2713.430986315772,3114.1256902502128,400.6947039344409,3.85,21.53,0.43
186,8,5,0.05042986094685651,2710.3063416251225,3145.9554218153526,435.64908019023005,13.45,27.21,0.54
187,6,4,0.0983762271764939,2726.4506965437586,3142.3019452902163,415.8512487464577,0,19.56,0.39
188,9,6,0.07846560891586751,2664.2418033238455,3218.1652560110683,553.9234526872228,30.4,27.39,0.55
189,7,4,0.3808458962021425,2746.6459963641323,3100.6126801797095,353.9666838155772,4.4,25.22,0.5
190,7,4,0.25348719010660414,2766.512934123727,3144.5360147315973,378.02308060787027,38.9,55.43,1.11
191,8,6,0.0014317070412390323,2767.9600773617412,3193.43861672224,425.47853936049887,0,0,0
192,7,6,0.33391770405712823,2771.3516189576426,3288.6222052281596,517.270586270517,0,28.71,0.57
193,7,5,1.1332321796074827,2749.1581827469786,3144.8941770390798,395.73599429210117,0,6.39,0.13
194,7,5,0.1323219408939862,2764.7811182482947,3129.7929169561276,365.0117987078329,24.85,55.17,1.1
195,6,4,0.12917083132181958,2758.3236149127056,3102.8488818623246,344.525266949619,8.4,75.52,1.51
196,8,6,0.04570272850226118,2673.575528793208,3242.2422318350405,568.6667030418325,73.25,67.75,1.35
197,7,5,0.03901202157628142,2723.7737429197255,3111.7461850757463,387.97244215602086,46.5,68.33,1.37
198,6,4,0.9212916679514913,2714.4154533617184,3270.7302166403774,556.314763278659,30.45,52.16,1.04
199,6,4,0.3075552453498877,3034.312905131944,3206.765918904321,172.4530137723773,42.55,66.06,1.32
200,7,4,0.13405215174148855,2814.432996894011,3167.023048950266,352.590052056255,2.95,26.61,0.53
201,8,5,0.3564529871202132,2860.7385645142026,3212.513309876694,351.77474536249156,51.5,111.39,2.23
202,9,8,0.14708113985206128,2848.9810139153446,3116.124863860192,267.14384994484726,21.85,86.87,1.74
203,7,6,0.40625013089599415,2674.1737470763674,3047.481959344271,373.30821226790385,0,0,0
204,5,3,0.07277046927576923,2625.274064309459,3146.4280771466847,521.1540128372258,0,10.07,0.2
205,6,4,0.8329109136897048,2779.003736697356,3203.6483353790745,424.64459868171843,0,33.26,0.67
206,8,4,0.01653832964460575,2672.2475915038945,3095.1805413071515,422.9329498032571,16.4,56.57,1.13
207,7,4,0.3617030733262624,2917.917051178818,3219.0661776348784,301.14912645606046,35.35,47.83,0.96
208,6,4,0.3145935901665784,2785.101354795317,3278.874004030821,493.7726492355041,2.5,33.79,0.68
209,8,5,0.7182300143617024,2612.7416005714435,3081.5464614336875,468.8048608622439,22.35,69.77,1.4
210,7,5,0.39663167291657997,2728.5563757185982,3213.0985523990175,484.5421766804193,17.9,63.03,1.26
211,5,3,0.7375417508581412,2797.08059363358,3246.46377806173,449.3831844281499,12.35,40.49,0.81
212,7,4,0.19654669399869623,2793.540729718546,3283.8136506501583,490.27292093161213,6.5,32.5,0.65
213,7,5,0.20035392621227352,2766.8229538551936,3206.691437872773,439.86848401757925,10.3,17.91,0.36
214,8,5,0.15846849473845473,2840.1570218662087,3201.2666937650392,361.1096718988306,8.6,34.28,0.69
215,8,6,0.07488691273421208,2692.2689928479294,3164.820300922885,472.5513080749556,9.4,37.24,0.74
216,8,7,0.048553864578212924,2707.740645671455,3105.7502344355057,398.00958876405093,68.9,142.92,2.86
217,6,4,0.06063195637057081,2690.3562076569124,3213.1151975473467,522.7589898904343,14,57.01,1.14
