cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2011,landing,1999-2010,2011-2025,106,306,0.3464052287581699,91,262,0.3473282442748092,0.09230155166392584,1.0026645542272794,0.7995536524149017,1.2573717914580962,1.0040825333774688,0.7107527024559883,1.4194658810426697,1.0,0.9816187051524814,46.50411385389556,7,6.97358435551039e-08
2012,canopy_collision,1999-2011,2012-2025,31,331,0.09365558912386707,11,237,0.046413502109704644,-4.724208701416242,0.49557642575200767,0.25426597745996665,0.9659019119056282,0.47102483585498145,0.2412558856757102,0.9724095064205562,0.03528094449657498,0.03386707706935432,50.29082563024919,7,1.266493461311193e-08
2012,all_collision,1999-2011,2012-2025,57,331,0.17220543806646527,25,237,0.10548523206751055,-6.672020599895472,0.6125545932341402,0.3946666463808752,0.9507343301823682,0.5668652763985436,0.347624835813119,0.9440624056239478,0.029146264597817297,0.025682801468900562,50.29082563024919,7,1.266493461311193e-08
2012,freefall_collision,1999-2011,2012-2025,26,331,0.07854984894259819,14,237,0.05907172995780591,-1.9478118984792279,0.7520285621551445,0.40134062880918314,1.4091445463051349,0.7364608485684719,0.3853775714464452,1.4515272561134158,0.40936557558493036,0.37096404843543485,50.29082563024919,7,1.266493461311193e-08
2012,landing,1999-2011,2012-2025,112,331,0.338368580060423,85,237,0.35864978902953587,2.0281208969112896,1.0599382157926462,0.8444061595376616,1.3304841616892424,1.0934562969924813,0.7716639088836605,1.5507020385224108,0.6551292791990743,0.6165347816202487,50.29082563024919,7,1.266493461311193e-08
2013,canopy_collision,1999-2012,2013-2025,32,350,0.09142857142857143,10,218,0.045871559633027525,-4.55570117955439,0.5017201834862386,0.25173986888396016,0.9999335569428498,0.4777644230769231,0.2408677763827361,1.0112066745075337,0.04812483510335922,0.043614015902297076,51.92848689588143,7,6.031131604083077e-09
2013,all_collision,1999-2012,2013-2025,59,350,0.16857142857142857,23,218,0.10550458715596331,-6.306684141546526,0.6258746695692738,0.39861504084967897,0.9827002542941379,0.5817470664928291,0.3533675307032849,0.9814286822971976,0.0377573604247679,0.03754788762698036,51.92848689588143,7,6.031131604083077e-09
2013,freefall_collision,1999-2012,2013-2025,27,350,0.07714285714285714,13,218,0.05963302752293578,-1.7509829619921355,0.7730207271491676,0.4077382203499843,1.4655507253877453,0.7586269196025294,0.39370572909139956,1.5168943452418882,0.5016416932532062,0.42767333577401967,51.92848689588143,7,6.031131604083077e-09
2013,landing,1999-2012,2013-2025,119,350,0.34,78,218,0.3577981651376147,1.7798165137614674,1.0523475445223962,0.8360607599387273,1.3245871682142787,1.081512605042017,0.7600057435408402,1.5414731726368283,0.7170184764679282,0.6647222477818,51.92848689588143,7,6.031131604083077e-09
2014,canopy_collision,1999-2013,2014-2025,32,374,0.0855614973262032,10,194,0.05154639175257732,-3.4015105573625886,0.6024484536082474,0.3026044669358102,1.1994011289065272,0.5808423913043479,0.29239517549925736,1.2301840286754357,0.17630074676753305,0.1417930255029367,59.39964929481795,7,1.9891425666338367e-10
2014,all_collision,1999-2013,2014-2025,63,374,0.16844919786096257,19,194,0.0979381443298969,-7.051105353106567,0.5814105711012927,0.3587621235931908,0.9422350631741749,0.5359637188208617,0.31759423660113684,0.9354294095985601,0.023681080166370026,0.023361074895320577,59.39964929481795,7,1.9891425666338367e-10
2014,freefall_collision,1999-2013,2014-2025,31,374,0.08288770053475936,9,194,0.04639175257731959,-3.649594795743977,0.559694047223146,0.2719992949947405,1.1516847001499855,0.5382737576285964,0.2645540119066678,1.1789011897327037,0.12130030715848103,0.10692681682503746,59.39964929481795,7,1.9891425666338367e-10
2014,landing,1999-2013,2014-2025,126,374,0.33689839572192515,71,194,0.36597938144329895,2.90809857213738,1.0863197512682048,0.860101985316753,1.3720356680269932,1.1361465995612339,0.7922997037240904,1.6325271401932138,0.5157704715803364,0.48984362072136167,59.39964929481795,7,1.9891425666338367e-10
2015,canopy_collision,1999-2014,2015-2025,34,398,0.08542713567839195,8,170,0.047058823529411764,-3.836831214898019,0.5508650519031142,0.2604814640230038,1.1649669835294767,0.5286855482933914,0.25512152552309253,1.197128838090376,0.11831466478675266,0.1095370009421388,79.20002226418362,7,2.005259482640103e-14
2015,all_collision,1999-2014,2015-2025,68,398,0.1708542713567839,14,170,0.08235294117647059,-8.850133018031332,0.4820069204152249,0.2790734412848396,0.8325072792972725,0.43552036199095023,0.24591031069836997,0.812629093676528,0.00594620047939271,0.0059904285966110304,79.20002226418362,7,2.005259482640103e-14
